subject_id,condition,metric,observed,null_mean,null_std,null_p2_5,null_p97_5,p_one_sided,z
2,RS1,coh_band_avg,0.11833053357998166,0.10174510989498636,0.02120464157343545,0.06562824414943465,0.1406660545590619,0.20398009950248755,0.7821600580965739
2,RS1,plv,0.0386582592928728,0.1273954079469551,0.06112675550471886,0.028640186582831993,0.24823000405123513,0.9402985074626866,-1.451690800883943
2,RS1,wpli,0.030075190257268163,0.1270018438222663,0.09379383223491648,0.009573556960931436,0.346442534221831,0.8955223880597015,-1.033401144354942
2,VIZ,coh_band_avg,0.12863671968382864,0.11037631237476359,0.020210203472610783,0.07615989169147067,0.15540795361690962,0.1791044776119403,0.903524169551874
2,VIZ,plv,0.10849367543997922,0.13255352464494663,0.07041678845999566,0.02621730505732109,0.2794861288439825,0.5970149253731343,-0.3416777409358282
2,VIZ,wpli,0.0051652247521871,0.13173862392737107,0.09438959392268674,0.007012646560771998,0.34482198067139463,0.9800995024875622,-1.3409677265786157
2,AUD,coh_band_avg,0.1290932154872324,0.12011997034485247,0.022812104405015923,0.0820280577336861,0.16850078792251313,0.3283582089552239,0.39335455348901943
2,AUD,plv,0.22424873480722382,0.13502479874520085,0.06937776519391649,0.027583230611912535,0.2746253309276771,0.12437810945273632,1.2860595294852006
2,AUD,wpli,0.17278505678021489,0.12260959478977282,0.09066757817578723,0.004721372643843212,0.34033245614579416,0.263681592039801,0.5534002672174761
2,MULTI,coh_band_avg,0.10135982844016622,0.12820037942198403,0.02173453144108467,0.088994614151905,0.1730229854502414,0.9054726368159204,-1.2349265984672326
2,MULTI,plv,0.2808453527547446,0.17760089113852032,0.09804569412440423,0.036499085188783684,0.3729720857627128,0.1890547263681592,1.0530239245919728
2,MULTI,wpli,0.31308584429944203,0.1772223438651419,0.11668528462557033,0.013054804478396529,0.4418377091596112,0.14427860696517414,1.1643584781943197
2,RS2,coh_band_avg,0.0959757385814599,0.11405344140465758,0.01898978091652798,0.07990414514535402,0.1487884052370958,0.8159203980099502,-0.9519700570881013
2,RS2,plv,0.23828664219672147,0.13373662217421287,0.06743234667161814,0.026148662197706903,0.2803565512795894,0.0845771144278607,1.55044315054978
2,RS2,wpli,0.23863948220018982,0.13666885424811726,0.09260660973254062,0.013370812631715051,0.35931826489650526,0.16417910447761194,1.101116089300498
3,RS1,coh_band_avg,0.0799457371863273,0.11282355821858342,0.023525829014468192,0.07022721398980744,0.15475161935057943,0.9303482587064676,-1.3975201899170706
3,RS1,plv,0.12206165103595258,0.14633097563686132,0.07552739284998691,0.03154034476944039,0.32005916375299315,0.5621890547263682,-0.3213314227476732
3,RS1,wpli,0.15678808796605334,0.1558691348988613,0.10585279651403044,0.007050283187589707,0.38063493930225006,0.4626865671641791,0.008681424558020304
3,VIZ,coh_band_avg,0.10254932032058052,0.1122670070796357,0.020787699649848907,0.07387134517944728,0.15471451275053666,0.6517412935323383,-0.46747292498647464
3,VIZ,plv,0.10646028858746256,0.13179902343419347,0.07681938992993478,0.01827787669365054,0.27925109421058997,0.5920398009950248,-0.3298481655457274
3,VIZ,wpli,0.1296865602675016,0.1265260493375877,0.09093058194778386,0.006634444087984595,0.3258375210253826,0.4079601990049751,0.034757403529307646
3,AUD,coh_band_avg,0.09863784605833574,0.11350439633529794,0.020527107877147704,0.07624221287347309,0.15749770728087586,0.7860696517412935,-0.7242398863949431
3,AUD,plv,0.5697180219713677,0.1951554726694324,0.12881900543529737,0.04147344346031328,0.5329205549860604,0.004975124378109453,2.907665278397673
3,AUD,wpli,0.0019769692138028832,0.1822092583879281,0.15556833456008914,0.0067586288856105806,0.5343353639459543,0.9850746268656716,-1.1585409696888507
3,MULTI,coh_band_avg,0.20400760836156315,0.11171454115070187,0.022678065564437497,0.07304228902378869,0.16104180064266638,0.004975124378109453,4.069706340191124
3,MULTI,plv,0.06219808471414558,0.1242031305395744,0.06289243829003986,0.028883669917328728,0.26479440947163463,0.8258706467661692,-0.985890315453844
3,MULTI,wpli,0.03541673197731867,0.1233415714798886,0.09289914511538105,0.007991668797385564,0.3279864015355153,0.8258706467661692,-0.946454775158232
3,RS2,coh_band_avg,0.13778819538498013,0.10940181204229737,0.024285380292667833,0.06686658357131915,0.15865818875480275,0.12935323383084577,1.1688671538428859
3,RS2,plv,0.30829165821191684,0.13239554596651823,0.06702492022480049,0.03129142305670713,0.28713858512277557,0.009950248756218905,2.624339001903261
3,RS2,wpli,0.08798716170111438,0.12376298160657889,0.09542342496680332,0.006126313641299113,0.3785451381285131,0.5522388059701493,-0.3749165356191155
4,RS1,coh_band_avg,0.07289532627375368,0.1270771902130205,0.023987781252707282,0.08293143630922156,0.17818473111137106,0.9950248756218906,-2.2587276150499247
4,RS1,plv,0.0818588178035965,0.12969545281155048,0.07054148202371842,0.025797901998398022,0.29004949298723987,0.7263681592039801,-0.6781348170693338
4,RS1,wpli,0.12961528481189868,0.11953630602242266,0.08823528912040078,0.004022134644617051,0.32786963137017044,0.3880597014925373,0.11422843275010791
4,VIZ,coh_band_avg,0.12859814562655894,0.12140783657755953,0.022345183691781408,0.08410066897025421,0.17108990861081638,0.3333333333333333,0.3217833940494306
4,VIZ,plv,0.14522705481533066,0.13378122519592617,0.06929784815714064,0.027879601133233643,0.2723286787780181,0.38308457711442784,0.16516861524256551
4,VIZ,wpli,0.1512981798355955,0.12848358041838256,0.09696656102671079,0.004289213799795223,0.35793132164460134,0.35323383084577115,0.23528316540924166
4,AUD,coh_band_avg,0.11445734116363031,0.12772404874762752,0.02266274801236569,0.08566295432229017,0.1745602874345496,0.7114427860696517,-0.5853971273368249
4,AUD,plv,0.12688256933370004,0.14894044917451726,0.09243948658960943,0.028663085661942443,0.39830598062336847,0.5323383084577115,-0.2386196706040189
4,AUD,wpli,0.12382576866398327,0.13340908503479867,0.09710295145794089,0.005567105995718892,0.35385048565635024,0.472636815920398,-0.0986923283682712
4,MULTI,coh_band_avg,0.07247662495982297,0.12173594797968366,0.021538326613862596,0.08263517259018933,0.16895900936113425,0.9900497512437811,-2.2870543242740213
4,MULTI,plv,0.13777090248376062,0.19587984561954194,0.13127532162862404,0.03135431406123387,0.5305612196731719,0.5621890547263682,-0.4426494059574325
4,MULTI,wpli,0.21072096373035806,0.2116316842652846,0.1778803460314282,0.006329219955676858,0.6115164960451339,0.4079601990049751,-0.005119849130300297
4,RS2,coh_band_avg,0.21726583209698033,0.13778321989187822,0.031354250181835956,0.08243050836864475,0.193972998366988,0.009950248756218905,2.534986859649022
4,RS2,plv,0.21546913660305664,0.17283737510868605,0.09324973958465994,0.028545950237600988,0.372290731299493,0.31343283582089554,0.45717834370642824
4,RS2,wpli,0.11822683739082172,0.14779629487310117,0.11781561308374364,0.004561648315551459,0.4352716278039781,0.4975124378109453,-0.2509808055852614
5,RS1,coh_band_avg,0.1105520272988734,0.11473017545443294,0.01908090037299519,0.07796299150621615,0.15381675301410927,0.6019900497512438,-0.21897017823502668
5,RS1,plv,0.22347570055859187,0.13277014570317783,0.0934168123652317,0.01807216324186737,0.3931695801754583,0.13930348258706468,0.9709767712987524
5,RS1,wpli,0.2320193316812449,0.1426165472789804,0.10383413229734971,0.011609763114253614,0.3785418848925057,0.19402985074626866,0.8610153754282052
5,VIZ,coh_band_avg,0.15437892129040773,0.1126529945207157,0.02265451902262352,0.07374524661812544,0.15803195972261702,0.04477611940298507,1.841836797683641
5,VIZ,plv,0.15121254355654618,0.19027379490249044,0.1343904781710206,0.022096266714293045,0.5563242143006303,0.5124378109452736,-0.2906549026206774
5,VIZ,wpli,0.036051916597676384,0.18226169175171886,0.16498811211609346,0.007701120332489454,0.6486722510299507,0.8059701492537313,-0.8861836969875887
5,AUD,coh_band_avg,0.09367244062211806,0.12005223637000556,0.022810492197852528,0.07660331786187007,0.16554828282050935,0.8805970149253731,-1.156476393366514
5,AUD,plv,0.2895056268369905,0.18374849693357792,0.135251910886164,0.01800615102581199,0.5344183658996886,0.1890547263681592,0.781927066394086
5,AUD,wpli,0.16778281305317805,0.1414366708535338,0.10972108969855224,0.009444794106466524,0.44083500062052927,0.3482587064676617,0.2401192174815948
5,MULTI,coh_band_avg,0.10610737393637433,0.11909962790598198,0.02303203957036984,0.08119577531929006,0.1632604091417504,0.6666666666666666,-0.5640948093160569
5,MULTI,plv,0.19949069165337632,0.16089098071177502,0.09868057203709948,0.025288811211868756,0.4166927328295115,0.263681592039801,0.3911581595523133
5,MULTI,wpli,0.2783365321722734,0.14566785890158462,0.10324086407792647,0.005153487029595046,0.375345704964293,0.11940298507462686,1.28504032250786
5,RS2,coh_band_avg,0.2396295356388155,0.13321440132916065,0.031037397047358393,0.08013891950787354,0.19889762250033036,0.009950248756218905,3.428610142380219
5,RS2,plv,0.05045045921063944,0.21292375017917883,0.14827361469518816,0.02681735275616216,0.5649869743628008,0.9353233830845771,-1.0957667100956707
5,RS2,wpli,0.05052505471178864,0.19346635012826938,0.15769100097325886,0.004738815865466337,0.5558330977808301,0.8159203980099502,-0.9064645067521679
6,RS1,coh_band_avg,0.10966629268476483,0.13864441869260585,0.024336643502118734,0.09320402500137229,0.1903346965199806,0.9104477611940298,-1.190719911943412
6,RS1,plv,0.2140235955822751,0.1770718365550075,0.08710113137214277,0.03119498014523016,0.3542014213886071,0.3383084577114428,0.4242397135967139
6,RS1,wpli,0.08434910457031755,0.17469760204041662,0.13334319484339618,0.004839603420075311,0.4979412480517619,0.6965174129353234,-0.6775636175224998
6,VIZ,coh_band_avg,0.13604301006279074,0.13227480692648946,0.024414636621003617,0.08918917114938965,0.18148368405445917,0.43283582089552236,0.15434197095768093
6,VIZ,plv,0.14793295309218246,0.11428608781134049,0.057447514883997804,0.021910547695655543,0.23745159573992786,0.26865671641791045,0.5856974901139618
6,VIZ,wpli,0.17080346044034941,0.11654878051963738,0.086606972069063,0.009281065904449331,0.3173296650501092,0.23880597014925373,0.6264470241200412
6,AUD,coh_band_avg,0.08910846576211409,0.09424172408456799,0.01841316291689161,0.0653291486161204,0.13574094116670402,0.582089552238806,-0.2787819966413712
6,AUD,plv,0.40206602299679023,0.19738987293228782,0.15095348539530912,0.018100264581951495,0.5306550807382396,0.14925373134328357,1.355888865556878
6,AUD,wpli,0.531287469566947,0.21015134213423742,0.20109272035998807,0.011258576736116086,0.7553670155258909,0.11442786069651742,1.5969555081746598
6,MULTI,coh_band_avg,0.18856910775877744,0.139505750322476,0.02473523209466063,0.09661603162897071,0.19911055659681895,0.04477611940298507,1.983541421747658
6,MULTI,plv,0.1333723610057856,0.1971672104750651,0.10351847349248948,0.043360591102583265,0.4155725642274699,0.7014925373134329,-0.6162653613116502
6,MULTI,wpli,0.1766918836702252,0.1974028148689024,0.15436875677141876,0.01601668310442825,0.6126604198388993,0.43781094527363185,-0.13416530411879182
6,RS2,coh_band_avg,0.08723325887755343,0.10874089658499314,0.023789764995028714,0.06921012268765116,0.15860095478631875,0.7960199004975125,-0.9040710453396287
6,RS2,plv,0.3460336190890302,0.2262078244079244,0.1363580073030836,0.03944803685929577,0.5192305549100955,0.21890547263681592,0.8787587692944825
6,RS2,wpli,0.41451774750482256,0.22344438639742376,0.16144713484285161,0.005445313106668007,0.5599487085623871,0.14925373134328357,1.1835041934524548
